APMC,Commodity,Year,date,modal_price,Type,msprice,fluctuation,Relative_fluctuation
Umarga,Wheat(Husked),2015,2015-04,2019,Rabi Crops,1525.0,737,41
Indapur,Wheat(Husked),2016,2016-06,2080,Rabi Crops,,737,37
Washim,Sorgum(Jawar),2015,2015-07,1836,Kharif Crops,1590.0,736,47
Nandura,Pigeon Pea (Tur),2016,2016-10,6641,Kharif Crops,4625.0,736,12
Chandrapur,Pigeon Pea (Tur),2016,2016-05,8229,Kharif Crops,4625.0,736,10
Jamkhed,Sorgum(Jawar),2016,2016-03,1980,Kharif Crops,1650.0,736,38
Sindi,Pigeon Pea (Tur),2016,2016-01,8306,Kharif Crops,4625.0,736,9
Gevrai,Wheat(Husked),2016,2016-02,1851,Rabi Crops,,736,38
Ramtek,Pigeon Pea (Tur),2016,2016-02,6641,Kharif Crops,4625.0,736,12
Shahada,Pigeon Pea (Tur),2016,2016-03,6760,Kharif Crops,4625.0,736,11
Mangalwedha,Sorgum(Jawar),2016,2016-06,2091,Kharif Crops,1650.0,735,38
Mangalwedha,Wheat(Husked),2015,2015-01,1806,Rabi Crops,1525.0,735,41
Kalvan,Pigeon Pea (Tur),2016,2016-01,7289,Kharif Crops,4625.0,735,11
Lonar,Pigeon Pea (Tur),2015,2015-04,6343,Kharif Crops,4425.0,735,12
Tumsar,Pigeon Pea (Tur),2016,2016-05,7376,Kharif Crops,4625.0,735,11
Mantha,Sorgum(Jawar),2014,2014-09,1547,Kharif Crops,1550.0,734,49
Kada,Wheat(Husked),2016,2016-04,1958,Rabi Crops,,734,39
Nagpur,Pigeon Pea (Tur),2016,2016-11,5286,Kharif Crops,4625.0,734,15
Sillod-Bharadi,Pigeon Pea (Tur),2016,2016-03,6733,Kharif Crops,4625.0,733,11
Kada,Pigeon Pea (Tur),2016,2016-02,7267,Kharif Crops,4625.0,733,11
Jalgaon Jamod-Aasalgaon,Pigeon Pea (Tur),2015,2015-01,4339,Kharif Crops,4425.0,733,17
Jalna,Bajri,2016,2016-11,1437,Kharif Crops,1330.0,733,47
Pandharkawada,Pigeon Pea (Tur),2015,2015-05,5967,Kharif Crops,4425.0,733,13
Osmanabad,Sorgum(Jawar),2015,2015-01,1813,Kharif Crops,1590.0,733,40
Kalyan,Rice(Paddyhus),2015,2015-09,2783,Kharif Crops,1450.0,733,27
Latur-Murud,Wheat(Husked),2015,2015-10,1698,Rabi Crops,1525.0,732,41
Murum,Pigeon Pea (Tur),2016,2016-04,9080,Kharif Crops,4625.0,732,9
Vani,Pigeon Pea (Tur),2016,2016-03,7626,Kharif Crops,4625.0,732,10
Ashti-Karanja,Pigeon Pea (Tur),2016,2016-02,7294,Kharif Crops,4625.0,732,11
Palghar(Bevur),Rice(Paddyhus),2016,2016-08,2875,Kharif Crops,1510.0,732,25
Lasur Station,Sorgum(Jawar),2016,2016-05,1827,Kharif Crops,1650.0,732,38
Indapur-Bhigwan,Sorgum(Jawar),2016,2016-06,2000,Kharif Crops,1650.0,731,35
Chandur Rly.,Pigeon Pea (Tur),2016,2016-04,8861,Kharif Crops,4625.0,731,9
Murum,Pigeon Pea (Tur),2016,2016-06,8651,Kharif Crops,4625.0,731,9
Nira-Saswad,Wheat(Husked),2016,2016-05,1925,Rabi Crops,,730,38
Pusad,Pigeon Pea (Tur),2015,2015-06,6895,Kharif Crops,4425.0,730,11
Karanja,Pigeon Pea (Tur),2016,2016-07,8283,Kharif Crops,4625.0,730,9
Nira,Sorgum(Jawar),2015,2015-07,1802,Kharif Crops,1590.0,730,41
Dhamangaon-Rly,Pigeon Pea (Tur),2016,2016-03,7823,Kharif Crops,4625.0,729,10
Jintur-Bori,Pigeon Pea (Tur),2015,2015-03,5179,Kharif Crops,4425.0,729,15
Solapur,Wheat(Husked),2016,2016-01,2361,Rabi Crops,,729,30
Kurdwadi-Modnimb,Sorgum(Jawar),2016,2016-01,1721,Kharif Crops,1650.0,728,42
Lasur Station,Sorgum(Jawar),2014,2014-09,1493,Kharif Crops,1550.0,728,47
Nira-Saswad,Wheat(Husked),2016,2016-07,1932,Rabi Crops,,728,38
Indapur,Sorgum(Jawar),2015,2015-11,2155,Kharif Crops,1590.0,728,34
Barshi,Pigeon Pea (Tur),2014,2014-11,4143,Kharif Crops,4350.0,728,17
Parshiwani,Pigeon Pea (Tur),2016,2016-01,8012,Kharif Crops,4625.0,728,10
Udgir,Pigeon Pea (Tur),2015,2015-05,6987,Kharif Crops,4425.0,727,11
Lonar,Pigeon Pea (Tur),2016,2016-02,8035,Kharif Crops,4625.0,727,10
Dhule,Wheat(Husked),2015,2015-04,1474,Rabi Crops,1525.0,727,49
Mangalwedha,Sorgum(Jawar),2015,2015-06,1754,Kharif Crops,1590.0,727,48
Dound,Sorgum(Jawar),2014,2014-11,2481,Kharif Crops,1550.0,726,31
Phaltan,Wheat(Husked),2016,2016-02,1820,Rabi Crops,,726,39
Dhadgaon,Sorgum(Jawar),2016,2016-09,1489,Kharif Crops,1650.0,726,40
Kej,Pigeon Pea (Tur),2015,2015-06,5772,Kharif Crops,4425.0,726,13
Phaltan,Bajri,2015,2015-09,1717,Kharif Crops,1275.0,725,45
Ahmedpur,Sesamum,2016,2016-08,5538,Kharif Crops,4800.0,725,14
Yeotmal,Pigeon Pea (Tur),2016,2016-09,6476,Kharif Crops,4625.0,725,12
Lonand,Wheat(Husked),2016,2016-05,1825,Rabi Crops,,725,40
Akole,Wheat(Husked),2016,2016-06,1788,Rabi Crops,,725,40
Kalamb (Os),Sorgum(Jawar),2014,2014-11,1742,Kharif Crops,1550.0,725,41
Dhamangaon-Rly,Pigeon Pea (Tur),2015,2015-08,7850,Kharif Crops,4425.0,725,10
Nira-Saswad,Pigeon Pea (Tur),2016,2016-01,6663,Kharif Crops,4625.0,725,11
Amarawati,Pigeon Pea (Tur),2015,2015-11,8798,Kharif Crops,4425.0,725,9
Solapur,Pigeon Pea (Tur),2014,2014-12,5037,Kharif Crops,4350.0,723,15
Dudhani,Pigeon Pea (Tur),2014,2014-12,4976,Kharif Crops,4350.0,723,16
Vasai,Wheat(Husked),2016,2016-06,1983,Rabi Crops,,723,36
Dhule,Pigeon Pea (Tur),2015,2015-06,5666,Kharif Crops,4425.0,723,14
Majalgaon,Wheat(Husked),2015,2015-05,1747,Rabi Crops,1525.0,722,42
Bhokar,Pigeon Pea (Tur),2015,2015-04,5740,Kharif Crops,4425.0,722,13
Baramati,Sorgum(Jawar),2016,2016-05,1886,Kharif Crops,1650.0,722,37
Gangapur,Wheat(Husked),2016,2016-02,1666,Rabi Crops,,722,37
Daryapur,Pigeon Pea (Tur),2014,2014-12,4647,Kharif Crops,4350.0,722,16
Umarga,Pigeon Pea (Tur),2015,2015-04,6244,Kharif Crops,4425.0,722,12
Kille Dharur,Bajri,2015,2015-02,1655,Kharif Crops,1275.0,722,42
Samudrapur,Pigeon Pea (Tur),2016,2016-01,8192,Kharif Crops,4625.0,721,9
Umared,Wheat(Husked),2016,2016-05,2020,Rabi Crops,,720,37
Sonpeth,Pigeon Pea (Tur),2016,2016-03,7507,Kharif Crops,4625.0,720,10
Partur,Pigeon Pea (Tur),2015,2015-09,7924,Kharif Crops,4425.0,720,10
Jalgaon Jamod-Aasalgaon,Pigeon Pea (Tur),2016,2016-04,8530,Kharif Crops,4625.0,720,9
Patur,Pigeon Pea (Tur),2015,2015-01,4397,Kharif Crops,4425.0,720,15
Manora,Pigeon Pea (Tur),2015,2015-04,5988,Kharif Crops,4425.0,720,12
Akola,Pigeon Pea (Tur),2016,2016-06,8612,Kharif Crops,4625.0,720,9
Gevrai,Wheat(Husked),2016,2016-11,2004,Rabi Crops,,719,36
Murtizapur,Pigeon Pea (Tur),2015,2015-02,5375,Kharif Crops,4425.0,719,14
Vani,Pigeon Pea (Tur),2015,2015-12,8127,Kharif Crops,4425.0,719,9
Umared,Wheat(Husked),2016,2016-04,1925,Rabi Crops,,719,39
Vasai,Wheat(Husked),2015,2015-09,1829,Rabi Crops,1525.0,719,39
Kurdwadi-Modnimb,Wheat(Husked),2016,2016-02,1636,Rabi Crops,,718,39
Dhule,Sorgum(Jawar),2014,2014-10,1695,Kharif Crops,1550.0,718,39
Lasur Station,Pigeon Pea (Tur),2015,2015-03,5320,Kharif Crops,4425.0,718,15
Katol,Cotton,2016,2016-04,4541,Kharif Crops,3860.0,718,17
Umarga,Pigeon Pea (Tur),2015,2015-06,6780,Kharif Crops,4425.0,718,11
Kalamb (Os),Wheat(Husked),2015,2015-12,2069,Rabi Crops,1525.0,718,34
Kada,Sorgum(Jawar),2016,2016-09,1972,Kharif Crops,1650.0,718,37
Parbhani,Pigeon Pea (Tur),2015,2015-08,8576,Kharif Crops,4425.0,718,9
Lonar,Pigeon Pea (Tur),2016,2016-04,8805,Kharif Crops,4625.0,717,9
Ahmednagar,Pigeon Pea (Tur),2015,2015-11,8425,Kharif Crops,4425.0,717,9
Chandur Bajar,Pigeon Pea (Tur),2014,2014-12,4825,Kharif Crops,4350.0,717,16
Dhamangaon-Rly,Pigeon Pea (Tur),2016,2016-09,6365,Kharif Crops,4625.0,716,12
Osmanabad,Wheat(Husked),2016,2016-05,2117,Rabi Crops,,716,32
Shegaon,Pigeon Pea (Tur),2016,2016-03,7924,Kharif Crops,4625.0,715,10
Sangrampur-Varvatbakal,Pigeon Pea (Tur),2016,2016-07,7900,Kharif Crops,4625.0,715,10
Jalgaon Jamod-Aasalgaon,Pigeon Pea (Tur),2015,2015-03,5329,Kharif Crops,4425.0,715,14
Akot,Pigeon Pea (Tur),2015,2015-01,4675,Kharif Crops,4425.0,715,16
Akola,Pigeon Pea (Tur),2016,2016-10,6355,Kharif Crops,4625.0,714,12
Gevrai,Sorgum(Jawar),2014,2014-12,2027,Kharif Crops,1550.0,714,37
Arvi,Pigeon Pea (Tur),2015,2015-05,6911,Kharif Crops,4425.0,714,11
Nagpur,Pigeon Pea (Tur),2016,2016-08,6176,Kharif Crops,4625.0,713,12
Bhokar,Pigeon Pea (Tur),2016,2016-04,8769,Kharif Crops,4625.0,713,9
Umared,Wheat(Husked),2016,2016-11,1981,Rabi Crops,,713,37
Beed,Sorgum(Jawar),2014,2014-10,2051,Kharif Crops,1550.0,713,37
Nira,Sorgum(Jawar),2015,2015-10,1931,Kharif Crops,1590.0,713,38
Jalna,Bajri,2014,2014-11,1471,Kharif Crops,1250.0,712,51
Indapur,Sorgum(Jawar),2015,2015-09,2019,Kharif Crops,1590.0,712,36
Dhule,Pigeon Pea (Tur),2015,2015-10,8875,Kharif Crops,4425.0,712,9
Kille Dharur,Cotton,2016,2016-03,4515,Kharif Crops,3860.0,712,17
Osmanabad,Sorgum(Jawar),2016,2016-11,2325,Kharif Crops,1650.0,712,33
Mohol,Pigeon Pea (Tur),2015,2015-02,5229,Kharif Crops,4425.0,712,15
Kalamb (Os),Wheat(Husked),2016,2016-01,1860,Rabi Crops,,712,37
Barshi,Sorgum(Jawar),2015,2015-09,1993,Kharif Crops,1590.0,712,36
Phaltan,Maize,2016,2016-09,1950,Kharif Crops,1365.0,712,37
Lasur Station,Sorgum(Jawar),2015,2015-09,1689,Kharif Crops,1590.0,711,42
Umared,Pigeon Pea (Tur),2016,2016-07,7611,Kharif Crops,4625.0,711,10
Ausa,Pigeon Pea (Tur),2016,2016-04,9058,Kharif Crops,4625.0,711,8
Nandgaon Khandeshwar,Pigeon Pea (Tur),2016,2016-07,8047,Kharif Crops,4625.0,711,9
Mangalwedha,Wheat(Unhusked),2015,2015-12,3500,Rabi Crops,1525.0,710,23
Pune,Gr.Nut Kernels,2014,2014-09,7192,Kharif Crops,4000.0,710,10
Phaltan,Wheat(Husked),2016,2016-01,1775,Rabi Crops,,709,38
Lasur Station,Wheat(Husked),2015,2015-04,1577,Rabi Crops,1525.0,709,44
Lonar,Pigeon Pea (Tur),2015,2015-03,5546,Kharif Crops,4425.0,708,13
Dondaicha-Sindkheda,Sorgum(Jawar),2016,2016-03,1937,Kharif Crops,1650.0,708,38
Hingoli,Pigeon Pea (Tur),2015,2015-04,6338,Kharif Crops,4425.0,708,12
Jintur,Sorgum(Jawar),2014,2014-10,1327,Kharif Crops,1550.0,708,47
Ghatanji,Pigeon Pea (Tur),2016,2016-03,7533,Kharif Crops,4625.0,708,10
Shirpur,Wheat(Husked),2015,2015-04,1740,Rabi Crops,1525.0,708,47
Barshi,Wheat(Husked),2015,2015-08,1807,Rabi Crops,1525.0,708,39
Dhule,Wheat(Husked),2015,2015-03,1393,Rabi Crops,1525.0,708,48
Vasai,Wheat(Husked),2015,2015-10,1838,Rabi Crops,1525.0,707,38
Jalna,Bajri,2016,2016-10,1348,Kharif Crops,1330.0,707,49
Jamkhed,Sorgum(Jawar),2016,2016-08,2139,Kharif Crops,1650.0,707,34
Loha,Pigeon Pea (Tur),2016,2016-01,9146,Kharif Crops,4625.0,706,8
Lasur Station,Sorgum(Jawar),2015,2015-08,1712,Kharif Crops,1590.0,706,43
Nilanga,Pigeon Pea (Tur),2016,2016-05,8992,Kharif Crops,4625.0,706,9
Nira-Saswad,Sorgum(Jawar),2015,2015-10,1988,Kharif Crops,1590.0,706,36
Nira,Sorgum(Jawar),2015,2015-09,1953,Kharif Crops,1590.0,706,37
Umared,Wheat(Husked),2016,2016-07,2000,Rabi Crops,,706,36
Palghar(Bevur),Rice(Paddyhus),2015,2015-10,2655,Kharif Crops,1450.0,705,27
Pathardi,Bajri,2016,2016-07,2540,Kharif Crops,1330.0,705,28
Akot,Pigeon Pea (Tur),2016,2016-06,8450,Kharif Crops,4625.0,705,9
Devala,Pigeon Pea (Tur),2016,2016-09,5605,Kharif Crops,4625.0,705,14
Hingoli,Pigeon Pea (Tur),2016,2016-01,9230,Kharif Crops,4625.0,705,8
Nanded,Sorgum(Jawar),2015,2015-10,1213,Kharif Crops,1590.0,704,46
Mohol,Sorgum(Jawar),2014,2014-10,1967,Kharif Crops,1550.0,704,38
Majalgaon,Wheat(Husked),2016,2016-05,1938,Rabi Crops,,704,37
Nilanga,Pigeon Pea (Tur),2016,2016-06,8650,Kharif Crops,4625.0,703,9
Yeotmal,Pigeon Pea (Tur),2015,2015-03,5758,Kharif Crops,4425.0,703,13
Kada (Ashti),Sorgum(Jawar),2015,2015-05,1790,Kharif Crops,1590.0,703,38
Majalgaon,Sesamum,2015,2015-01,9314,Kharif Crops,4700.0,703,8
Pune,Gr.Nut Kernels,2016,2016-09,8778,Kharif Crops,4120.0,703,9
Akola,Pigeon Pea (Tur),2016,2016-07,8345,Kharif Crops,4625.0,703,9
Mangrulpeer,Wheat(Husked),2016,2016-04,1790,Rabi Crops,,702,41
Lasur Station,Pigeon Pea (Tur),2016,2016-04,8034,Kharif Crops,4625.0,702,9
Dhadgaon,Sorgum(Jawar),2016,2016-01,1205,Kharif Crops,1650.0,702,47
Barshi,Wheat(Husked),2015,2015-09,1773,Rabi Crops,1525.0,702,39
Dound,Sorgum(Jawar),2016,2016-03,2129,Kharif Crops,1650.0,702,34
Sangrampur-Varvatbakal,Pigeon Pea (Tur),2016,2016-10,5840,Kharif Crops,4625.0,701,13
Akkolkot,Wheat(Unhusked),2015,2015-11,3800,Rabi Crops,1525.0,701,20
Dound,Pigeon Pea (Tur),2016,2016-03,6567,Kharif Crops,4625.0,701,11
Loha,Pigeon Pea (Tur),2015,2015-04,6581,Kharif Crops,4425.0,701,12
Mangalwedha,Sorgum(Jawar),2016,2016-05,2092,Kharif Crops,1650.0,701,36
Indapur-Bhigwan,Bajri,2016,2016-10,1375,Kharif Crops,1330.0,701,45
Kalamb (Os),Wheat(Husked),2015,2015-09,2234,Rabi Crops,1525.0,701,31
Pune-Pimpri,Rice(Paddyhus),2016,2016-02,4350,Kharif Crops,1510.0,700,17
Chopda,Sorgum(Jawar),2016,2016-07,1854,Kharif Crops,1650.0,700,40
Phaltan,Wheat(Husked),2016,2016-04,1700,Rabi Crops,,700,38
Ausa,Wheat(Husked),2016,2016-09,2451,Rabi Crops,,700,30
Akola,Sesamum,2016,2016-11,6350,Kharif Crops,4800.0,700,12
Umarkhed,Pigeon Pea (Tur),2015,2015-12,8000,Kharif Crops,4425.0,700,9
Barshi,Pigeon Pea (Tur),2014,2014-12,4951,Kharif Crops,4350.0,700,15
Karmala,Wheat(Husked),2016,2016-07,2100,Rabi Crops,,700,38
Nira-Saswad,Pigeon Pea (Tur),2016,2016-02,6600,Kharif Crops,4625.0,700,11
Ambad(Vadi Godri),Wheat(Husked),2016,2016-09,1921,Rabi Crops,,700,34
Pathardi,Wheat(Husked),2014,2014-11,1763,Rabi Crops,1450.0,700,38
Baramati,Sunflower,2016,2016-11,3125,Kharif Crops,3850.0,700,24
Patur,Pigeon Pea (Tur),2015,2015-03,5204,Kharif Crops,4425.0,700,14
Hingoli,Pigeon Pea (Tur),2015,2015-06,7081,Kharif Crops,4425.0,700,10
Nira,Rice(Paddyhus),2015,2015-07,2850,Kharif Crops,1450.0,700,25
Patur,Pigeon Pea (Tur),2015,2015-09,5000,Kharif Crops,4425.0,700,15
Lasalgaon,Bajri,2016,2016-03,1715,Kharif Crops,1330.0,700,43
Umared,Cotton,2015,2015-06,3700,Kharif Crops,3800.0,700,20
Kalyan,Gr.Nut Kernels,2016,2016-01,6425,Kharif Crops,4120.0,700,12
Chalisgaon,Pigeon Pea (Tur),2016,2016-07,7575,Kharif Crops,4625.0,700,10
Udgir,Sesamum,2015,2015-11,6500,Kharif Crops,4700.0,700,12
Kolhapur-Laxmipuri,Spilt Gerrn Gram,2015,2015-10,11367,Kharif Crops,4650.0,700,7
Jalna,Sesamum,2015,2015-10,7400,Kharif Crops,4700.0,700,10
Akole,Paddyunhusked,2016,2016-08,1700,Kharif Crops,1470.0,700,38
Nagpur,Sorgum(Jawar),2014,2014-11,1950,Kharif Crops,1550.0,700,36
Wardha,Pigeon Pea (Tur),2016,2016-04,8928,Kharif Crops,4625.0,700,9
Morshi,Pigeon Pea (Tur),2015,2015-04,6165,Kharif Crops,4425.0,700,12
Lasur Station,Pigeon Pea (Tur),2015,2015-09,7000,Kharif Crops,4425.0,700,10
Akole,Wheat(Husked),2016,2016-11,1713,Rabi Crops,,700,38
Pombhurni,Cotton,2016,2016-11,4500,Kharif Crops,3860.0,700,17
Sonpeth,Wheat(Husked),2015,2015-05,1850,Rabi Crops,1525.0,700,38
Chandrapur,Pigeon Pea (Tur),2015,2015-05,6500,Kharif Crops,4425.0,700,12
Sinner,Mustard,2015,2015-03,3701,Rabi Crops,3350.0,700,20
Pune,Gr.Nut Kernels,2015,2015-12,7682,Kharif Crops,4030.0,700,10
Dound,Pigeon Pea (Tur),2016,2016-04,6750,Kharif Crops,4625.0,700,11
Kalmeshwar,Cotton,2015,2015-05,4451,Kharif Crops,3800.0,699,17
Chalisgaon,Pigeon Pea (Tur),2016,2016-03,7038,Kharif Crops,4625.0,699,11
Patur,Pigeon Pea (Tur),2016,2016-08,6328,Kharif Crops,4625.0,699,11
Palghar(Bevur),Rice(Paddyhus),2015,2015-11,2575,Kharif Crops,1450.0,699,28
Shegaon,Pigeon Pea (Tur),2016,2016-06,8643,Kharif Crops,4625.0,699,9
Partur,Pigeon Pea (Tur),2015,2015-05,6063,Kharif Crops,4425.0,699,12
Kurdwadi,Sorgum(Jawar),2016,2016-11,2408,Kharif Crops,1650.0,699,30
Lonar,Pigeon Pea (Tur),2015,2015-02,5613,Kharif Crops,4425.0,699,13
Umarga,Pigeon Pea (Tur),2014,2014-12,4953,Kharif Crops,4350.0,699,15
Barshi-Vairag,Sorgum(Jawar),2015,2015-08,1747,Kharif Crops,1590.0,698,39
Gevrai,Bajri,2015,2015-05,1213,Kharif Crops,1275.0,698,47
Indapur,Sorgum(Jawar),2016,2016-10,2091,Kharif Crops,1650.0,697,33
Washim,Wheat(Husked),2016,2016-01,1647,Rabi Crops,,697,39
Kada,Sorgum(Jawar),2016,2016-08,1941,Kharif Crops,1650.0,697,36
Bhokar,Sesamum,2014,2014-09,10190,Kharif Crops,4600.0,696,7
Lasalgaon,Pigeon Pea (Tur),2015,2015-06,5643,Kharif Crops,4425.0,696,13
Mangrulpeer,Pigeon Pea (Tur),2016,2016-08,6464,Kharif Crops,4625.0,696,12
Indapur-Bhigwan,Wheat(Husked),2016,2016-04,1763,Rabi Crops,,696,36
Nandurbar,Pigeon Pea (Tur),2016,2016-01,7460,Kharif Crops,4625.0,695,10
Jawala-Bajar,Pigeon Pea (Tur),2015,2015-08,7848,Kharif Crops,4425.0,694,10
Majalgaon,Sorgum(Jawar),2015,2015-08,1535,Kharif Crops,1590.0,694,46
Dondaicha,Sorgum(Jawar),2015,2015-03,1732,Kharif Crops,1590.0,694,42
Gevrai,Sorgum(Jawar),2014,2014-11,1907,Kharif Crops,1550.0,694,35
Tumsar,Pigeon Pea (Tur),2016,2016-04,7668,Kharif Crops,4625.0,694,10
Phaltan,Wheat(Husked),2015,2015-05,1775,Rabi Crops,1525.0,693,40
Bhokar,Cotton,2016,2016-03,4038,Kharif Crops,3860.0,693,17
Washim,Pigeon Pea (Tur),2015,2015-03,5717,Kharif Crops,4425.0,693,13
Patur,Pigeon Pea (Tur),2016,2016-03,7951,Kharif Crops,4625.0,693,9
Solapur,Pigeon Pea (Tur),2016,2016-06,8463,Kharif Crops,4625.0,692,9
Shahada,Pigeon Pea (Tur),2016,2016-04,7802,Kharif Crops,4625.0,692,9
Hingoli,Pigeon Pea (Tur),2015,2015-08,8424,Kharif Crops,4425.0,692,9
Mohol,Sorgum(Jawar),2016,2016-03,2029,Kharif Crops,1650.0,692,35
Pune,Gr.Nut Kernels,2016,2016-11,7927,Kharif Crops,4120.0,691,9
Ausa,Sesamum,2014,2014-11,9146,Kharif Crops,4600.0,691,8
Parli-Vaijnath,Pigeon Pea (Tur),2015,2015-05,6363,Kharif Crops,4425.0,691,12
Barshi-Vairag,Sorgum(Jawar),2016,2016-03,2124,Kharif Crops,1650.0,691,32
Kej,Wheat(Husked),2016,2016-03,2267,Rabi Crops,,691,30
Risod,Pigeon Pea (Tur),2015,2015-02,5578,Kharif Crops,4425.0,691,13
Ahmednagar,Sorgum(Jawar),2015,2015-11,2062,Kharif Crops,1590.0,691,35
Shirpur,Sorgum(Jawar),2015,2015-04,1466,Kharif Crops,1590.0,691,46
Phaltan,Bajri,2015,2015-11,1625,Kharif Crops,1275.0,690,43
Latur-Murud,Wheat(Husked),2015,2015-12,1489,Rabi Crops,1525.0,690,45
Kille Dharur,Bajri,2015,2015-01,1755,Kharif Crops,1275.0,690,39
Indapur-Bhigwan,Wheat(Husked),2015,2015-11,2410,Rabi Crops,1525.0,690,27
Savali,Paddyunhusked,2014,2014-12,1988,Kharif Crops,1360.0,690,34
Ambad(Vadi Godri),Wheat(Husked),2016,2016-07,1891,Rabi Crops,,689,35
Barshi,Sorgum(Jawar),2015,2015-12,2190,Kharif Crops,1590.0,688,32
Nira,Sorgum(Jawar),2015,2015-05,2069,Kharif Crops,1590.0,688,34
Alibag,Rice(Paddyhus),2016,2016-02,3813,Kharif Crops,1510.0,688,18
Nira-Saswad,Wheat(Husked),2016,2016-11,1994,Rabi Crops,,688,35
Vani,Pigeon Pea (Tur),2016,2016-02,7581,Kharif Crops,4625.0,688,10
Morshi,Pigeon Pea (Tur),2015,2015-09,8030,Kharif Crops,4425.0,688,9
Nira-Saswad,Wheat(Husked),2016,2016-09,1893,Rabi Crops,,687,37
Indapur,Sorgum(Jawar),2015,2015-12,2311,Kharif Crops,1590.0,687,31
Nandurbar,Sunflower,2016,2016-09,4100,Kharif Crops,3850.0,687,19
Dudhani,Sorgum(Jawar),2015,2015-05,1775,Kharif Crops,1590.0,687,42
Amalner,Sesamum,2016,2016-10,5472,Kharif Crops,4800.0,686,14
Palghar(Bevur),Rice(Paddyhus),2015,2015-06,2575,Kharif Crops,1450.0,685,27
Majalgaon,Sorgum(Jawar),2015,2015-12,1931,Kharif Crops,1590.0,685,36
Ahmedpur,Sorgum(Jawar),2016,2016-11,1488,Kharif Crops,1650.0,685,46
Sindi,Pigeon Pea (Tur),2015,2015-02,5326,Kharif Crops,4425.0,685,13
Parbhani,Pigeon Pea (Tur),2015,2015-07,6598,Kharif Crops,4425.0,685,11
Telhara,Pigeon Pea (Tur),2016,2016-04,8467,Kharif Crops,4625.0,685,9
Lonand,Bajri,2014,2014-11,1683,Kharif Crops,1250.0,684,43
Phaltan,Sorgum(Jawar),2016,2016-08,1913,Kharif Crops,1650.0,684,35
Shegaon,Sesamum,2015,2015-01,9123,Kharif Crops,4700.0,684,8
Lasalgaon,Wheat(Husked),2016,2016-04,1821,Rabi Crops,,684,37
Akot,Pigeon Pea (Tur),2016,2016-08,6067,Kharif Crops,4625.0,683,12
Umared,Wheat(Husked),2015,2015-05,1842,Rabi Crops,1525.0,683,38
Tumsar,Rice(Paddyhus),2014,2014-12,2873,Kharif Crops,1400.0,683,24
Sangali,Wheat(Unhusked),2015,2015-03,2931,Rabi Crops,1525.0,683,24
Mangalwedha,Pigeon Pea (Tur),2015,2015-01,4543,Kharif Crops,4425.0,682,17
Lasalgaon,Bajri,2016,2016-11,1735,Kharif Crops,1330.0,682,42
Ashti (Jalna),Pigeon Pea (Tur),2016,2016-02,7510,Kharif Crops,4625.0,682,10
Karanja,Pigeon Pea (Tur),2016,2016-03,8053,Kharif Crops,4625.0,682,9
Sangrampur,Pigeon Pea (Tur),2015,2015-01,4291,Kharif Crops,4425.0,682,16
Sailu,Pigeon Pea (Tur),2015,2015-02,5502,Kharif Crops,4425.0,682,13
Bhokar,Pigeon Pea (Tur),2015,2015-08,7550,Kharif Crops,4425.0,681,9
Ralegaon,Cotton,2016,2016-04,4920,Kharif Crops,3860.0,681,15
Akole,Wheat(Husked),2016,2016-05,1725,Rabi Crops,,681,37
Kurdwadi,Sorgum(Jawar),2016,2016-06,2135,Kharif Crops,1650.0,681,32
Lasur Station,Pigeon Pea (Tur),2015,2015-04,5386,Kharif Crops,4425.0,681,14
Pusad,Pigeon Pea (Tur),2015,2015-11,7706,Kharif Crops,4425.0,681,10
Arvi,Pigeon Pea (Tur),2016,2016-02,7821,Kharif Crops,4625.0,681,9
Akkolkot,Pigeon Pea (Tur),2015,2015-04,6220,Kharif Crops,4425.0,680,12
Bhokar,Pigeon Pea (Tur),2015,2015-02,5289,Kharif Crops,4425.0,680,13
Lonand,Sorgum(Jawar),2016,2016-06,1940,Kharif Crops,1650.0,680,35
Ausa,Pigeon Pea (Tur),2016,2016-05,8634,Kharif Crops,4625.0,680,9
Chikhali,Pigeon Pea (Tur),2015,2015-04,5289,Kharif Crops,4425.0,679,13
Mohol,Sorgum(Jawar),2016,2016-05,2154,Kharif Crops,1650.0,679,34
Umared,Wheat(Husked),2016,2016-09,2000,Rabi Crops,,679,36
Shegaon,Pigeon Pea (Tur),2016,2016-09,6114,Kharif Crops,4625.0,679,12
Morshi,Pigeon Pea (Tur),2016,2016-03,7874,Kharif Crops,4625.0,679,9
Loha,Wheat(Husked),2016,2016-01,1752,Rabi Crops,,679,38
Gevrai,Wheat(Husked),2016,2016-06,2064,Rabi Crops,,679,34
Kada,Sorgum(Jawar),2016,2016-01,1971,Kharif Crops,1650.0,679,35
Sinner,Sorgum(Jawar),2016,2016-10,1586,Kharif Crops,1650.0,679,43
Karmala,Sunflower,2016,2016-09,3130,Kharif Crops,3850.0,678,23
Ausa,Wheat(Husked),2016,2016-08,2276,Rabi Crops,,678,32
Malkapur,Pigeon Pea (Tur),2014,2014-12,4283,Kharif Crops,4350.0,678,17
Lasalgaon,Bajri,2016,2016-04,1792,Kharif Crops,1330.0,678,39
Jalgaon Jamod-Aasalgaon,Pigeon Pea (Tur),2016,2016-07,8306,Kharif Crops,4625.0,678,9
Udgir,Pigeon Pea (Tur),2014,2014-12,4860,Kharif Crops,4350.0,678,14
